,sigma,q,set,ntest,regressor,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
355,0.8,0.2,1,1000,rf,0.0,0.0,0.0,0.0967817726,0.8280724108799999,461.9,0.19731247402000002,0.91205479588,571.61,0.02178706795523683,0.03723228175966389,18.75
356,0.8,0.2,2,10,rf,0.060222222209999995,0.52,5.08,0.034023809530000004,0.52086111112,4.48,0.18244444444,1.0,9.99,0.04549206349206349,0.5523730158730159,4.75
357,0.8,0.2,2,100,rf,0.04085609591,0.26714167027999997,25.94,0.03745727564,0.522505742,44.32,0.18541515152,1.0,99.99,0.010931415017675375,0.19910763678331228,16.56
358,0.8,0.2,2,500,rf,0.02235183642,0.15804421354,75.98,0.035957942890000004,0.49080849118000003,209.4,0.17915693548,1.0,499.96,0.006351873562292565,0.04437156080703805,18.33
359,0.8,0.2,2,1000,rf,0.02198981461,0.14804521315,142.71,0.03502561306,0.50315364862,428.12,0.18114879303999998,0.99992813352,999.66,0.006893478553307558,0.024565549462335964,20.46
360,0.8,0.2,5,10,rf,0.0,0.0,0.0,0.050833333310000006,0.08805952381000001,0.6,0.16791666663000002,0.25486904763999996,1.97,0.14833333333333334,0.11363888888888887,0.74
361,0.8,0.2,5,100,rf,0.0,0.0,0.0,0.10323484849,0.01647276908,1.21,0.1980204466,0.10398740724,7.43,0.11533333333333333,0.00978479151990231,0.73
362,0.8,0.2,5,500,rf,0.0,0.0,0.0,0.10880533423,0.00750189429,2.63,0.20128892833,0.04831557386,16.99,0.07150000000000001,0.002261118462487406,0.72
363,0.8,0.2,5,1000,rf,0.0,0.0,0.0,0.10855490325,0.0050863963199999996,3.63,0.17670695793,0.03482435086,24.14,0.10133333333333333,0.001142924950339268,0.75
364,0.8,0.2,6,10,rf,0.0,0.0,0.0,0.11866666667,0.13499999999,0.81,0.19261904763,0.26619047619,1.71,0.14166666666666666,0.13345238095238096,0.72
365,0.8,0.2,6,100,rf,0.0,0.0,0.0,0.11204535958999999,0.04363426164,2.28,0.19688106584,0.08708576369,4.8,0.13849999999999998,0.018087084654420892,0.97
366,0.8,0.2,6,500,rf,0.0,0.0,0.0,0.10825173601999999,0.02155799484,5.23,0.19854954546999998,0.08465627852999999,22.17,0.102,0.003587832933004354,0.88
367,0.8,0.2,6,1000,rf,0.0,0.0,0.0,0.13115379929999998,0.01474686444,7.42,0.18203081891,0.06769851326000001,35.57,0.109,0.002266897561304213,1.1
368,0.8,0.5,1,10,rf,0.175,0.32,3.2,0.22814682539,0.93857142857,6.14,0.51166666667,1.0,9.89,0.09864285714285714,0.7861190476190477,4.24
369,0.8,0.5,1,100,rf,0.1659,0.33,33.0,0.25204158951,0.9449851997300001,63.23,0.49394552624,0.99848072562,98.47,0.0498560324671195,0.5609577740353577,28.59
370,0.8,0.5,1,500,rf,0.1348898998,0.27,134.99,0.25452634732,0.9322552419500001,312.84,0.49226187691,0.99914518024,492.04,0.025742746648225397,0.21042402455069706,52.74
371,0.8,0.5,1,1000,rf,0.16909031031000002,0.34,339.98,0.25631859964,0.9016089102799999,604.6,0.49393459643,0.99950702675,988.69,0.016598976197678254,0.10203640128609968,51.27
372,0.8,0.5,2,10,rf,0.18100000000000002,1.0,10.0,0.09472619047,0.8913769841200001,8.09,0.18100000000000002,1.0,10.0,0.08768650793650792,0.7520238095238095,6.75
373,0.8,0.5,2,100,rf,0.17920000000000003,1.0,100.0,0.08855636349,0.88841991061,80.13,0.17920000000000003,1.0,100.0,0.015913815213403654,0.2998673974373813,24.8
374,0.8,0.5,2,500,rf,0.18136,1.0,500.0,0.08709600155000001,0.87266653227,391.46,0.18136,1.0,500.0,0.010351429167426793,0.12206422707576253,50.55
375,0.8,0.5,2,1000,rf,0.17850000000000002,1.0,1000.0,0.09147530642,0.88837630226,803.72,0.17850000000000002,1.0,1000.0,0.007041795672290031,0.06148118243880602,50.99
376,0.8,0.5,5,10,rf,0.004,0.01,0.1,0.24745238096000002,0.34514682542,2.83,0.48574603175,0.97297619047,9.65,0.2533333333333333,0.22903968253968252,1.65
377,0.8,0.5,5,100,rf,0.0,0.0,0.0,0.27749559191,0.16644354336,12.22,0.50020360067,0.9857651661600001,97.42,0.26475000000000004,0.0289892919478264,2.03
378,0.8,0.5,5,500,rf,0.0,0.0,0.0,0.24216412968,0.09483021633,35.25,0.49177310501,0.9822997603899999,485.38,0.21183189033189034,0.006478516203422055,2.28
379,0.8,0.5,5,1000,rf,0.0,0.0,0.0,0.24519840152,0.10333149337,74.18,0.49657154141,0.98456381599,973.95,0.11957142857142858,0.002679203953085413,1.76
380,0.8,0.5,6,10,rf,0.0,0.0,0.0,0.34352380951999995,0.37626190476,2.8,0.49621825401,0.8095476190600001,6.76,0.267,0.256047619047619,1.39
381,0.8,0.5,6,100,rf,0.0,0.0,0.0,0.29177601834,0.30477393642,17.96,0.50623500665,0.78823341158,61.52,0.20995238095238095,0.039614697107165614,2.06
382,0.8,0.5,6,500,rf,0.0,0.0,0.0,0.30066520332,0.24126574546000001,67.69,0.49309543284,0.7662181836899999,289.92,0.1621075036075036,0.012365049382306627,2.93
383,0.8,0.5,6,1000,rf,0.0,0.0,0.0,0.31931103835999997,0.25445019329,146.95,0.50469509085,0.7860719001600001,605.65,0.1234729437229437,0.0051405506734823695,2.4
384,0.9,0.1,1,10,rf,0.0,0.0,0.0,0.051690476199999995,0.67840476191,3.74,0.09601190476999999,0.76488095237,4.52,0.05385714285714285,0.564952380952381,2.95
385,0.9,0.1,1,100,rf,0.0,0.0,0.0,0.052031682579999995,0.6594614294,35.17,0.09517748213,0.76423268319,42.78,0.02493603574152773,0.13588306670929076,7.04
386,0.9,0.1,1,500,rf,0.0,0.0,0.0,0.049696399620000005,0.6504488161,171.88,0.09769412236000001,0.76039295724,212.36,0.01787287663603453,0.023424073686497966,5.89
387,0.9,0.1,1,1000,rf,0.0,0.0,0.0,0.04622786168,0.6675977452099999,351.63,0.09656955725,0.76977928885,428.12,0.034846951659451654,0.013408119040279777,6.82
388,0.9,0.1,2,10,rf,0.0,0.0,0.0,0.00666666667,0.28699206347,2.38,0.08696428573000001,0.8488888888799999,7.52,0.04716666666666667,0.37144444444444447,3.09
389,0.9,0.1,2,100,rf,0.0,0.0,0.0,0.01678560414,0.20032418523,16.62,0.09804493293,0.8471079305399999,76.38,0.0054875669566072025,0.10260809887529353,8.51
390,0.9,0.1,2,500,rf,0.0,0.0,0.0,0.01797073667,0.22474089264,93.72,0.09583972609,0.83773565503,376.94,0.005294606709080392,0.02015010649164671,8.27
391,0.9,0.1,2,1000,rf,0.0,0.0,0.0,0.01701157244,0.21434744994,177.85,0.10258168785,0.8525671206900001,770.95,0.004784653182401869,0.009006313500426473,7.38
