,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
217,0.5,0.2,5,100,rf,0.08440794140670961,0.0,0.0,0.0,0.11846428571428572,0.020472041555259307,1.33,0.2198063330383272,0.1686039544932186,11.51,0.105,0.012465628883729074,0.78
218,0.5,0.2,5,500,rf,0.09336298570404276,0.0,0.0,0.0,0.13534956317515712,0.01987572592920965,6.1,0.2027069606561788,0.12362323626395771,41.02,0.11966666666666667,0.003047441222748678,0.95
219,0.5,0.2,5,1000,rf,0.08879605411783531,0.0,0.0,0.0,0.09500750444577799,0.00860329299120346,5.65,0.20624593255511467,0.0889374731334396,60.37,0.071,0.001277127490801929,0.77
220,0.5,0.2,6,10,rf,0.06193623663156292,0.0,0.0,0.0,0.11616666666666667,0.18738095238095237,0.91,0.19616666666666668,0.29169047619047617,1.45,0.13166666666666665,0.16835714285714284,0.72
221,0.5,0.2,6,100,rf,0.2253864909883992,0.0,0.0,0.0,0.08698708072972777,0.10321840230587233,4.25,0.18412820583763323,0.2161696328148961,9.7,0.035666666666666666,0.034454680029664654,1.28
222,0.5,0.2,6,500,rf,0.2338953470982322,0.0,0.0,0.0,0.121539924933972,0.10097868620156795,21.68,0.20322808714916682,0.22054242736173987,50.24,0.06861904761904762,0.009161736767987549,1.84
223,0.5,0.2,6,1000,rf,0.2339705467328531,0.0,0.0,0.0,0.12026695215432656,0.08106227753791918,34.58,0.19233005260897404,0.19836226945595492,89.66,0.06134523809523809,0.004725226871845876,1.86
224,0.5,0.5,1,10,rf,0.1886400476424931,0.256,0.49,4.9,0.25299999999999995,0.9378095238095239,6.55,0.4864603174603175,1.0,9.86,0.12952777777777777,0.8408769841269842,4.88
225,0.5,0.5,1,100,rf,0.30689585405353687,0.2156,0.43,43.0,0.265933696221544,0.9438933727528768,63.74,0.4978585469231795,0.998925505050505,98.51,0.036801460816244067,0.6437328418000575,32.71
226,0.5,0.5,1,500,rf,0.33313944013663344,0.21396,0.43,215.0,0.25061338817152734,0.9520505966882511,318.91,0.49177350107727646,0.9997621470499403,493.28,0.007735342179017397,0.41698783006638296,104.81
227,0.5,0.5,1,1000,rf,0.29432282805723853,0.22437,0.45,450.0,0.2496814332418974,0.9325872583837139,624.08,0.49095818691182735,0.999204414927064,985.92,0.016978417695143723,0.21312071564718946,107.62
228,0.5,0.5,2,10,rf,0.3142959969969144,0.14200000000000002,1.0,10.0,0.06959126984126984,0.9776230158730159,9.04,0.14200000000000002,1.0,10.0,0.0495595238095238,0.9506587301587301,8.6
229,0.5,0.5,2,100,rf,0.4207104600654044,0.15439999999999998,1.0,100.0,0.07869012843379294,0.9764139529100123,89.64,0.15439999999999998,1.0,100.0,0.007202911199487318,0.4924289564199819,41.93
230,0.5,0.5,2,500,rf,0.4321294376400868,0.15356,1.0,500.0,0.0779305878591727,0.976926792808557,448.46,0.15356,1.0,500.0,0.006259315926451204,0.2680306324412333,114.03
