,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
139,0.3,0.5,5,1000,gbr,0.035853304035959016,0.0,0.0,0.0,0.2497509433389948,0.15092911517074062,103.16,0.49156979808028317,0.9880304498800089,975.67,0.11972222222222222,0.003852638314469371,2.35
140,0.3,0.5,6,10,gbr,0.29249739983350687,0.0,0.0,0.0,0.35178174603174606,0.8344047619047619,4.57,0.48963095238095233,0.9285,6.48,0.21833333333333332,0.5207142857142857,2.09
141,0.3,0.5,6,100,gbr,0.3574257185721852,0.0,0.0,0.0,0.3237057477667723,0.7109573940333981,35.8,0.48205885841156537,0.9313998215018404,61.16,0.09198593073593071,0.13886534146292914,5.15
142,0.3,0.5,6,500,gbr,0.36392898303734833,0.0,0.0,0.0,0.3330687321876724,0.7276327487074074,181.06,0.4998742894647241,0.939320254944843,310.68,0.05600697837308602,0.04775590659005984,8.31
143,0.3,0.5,6,1000,gbr,0.3629175167332864,0.0,0.0,0.0,0.32855786558893685,0.71768217220178,359.1,0.4980535477415605,0.9427317718147595,627.42,0.060555064337107674,0.021165003368860746,7.51
144,0.4,0.1,1,10,gbr,0.8046001446964428,0.0,0.0,0.0,0.056194444444444436,0.9706666666666667,5.21,0.09521031746031745,0.9773333333333334,5.52,0.02358333333333333,0.9589761904761904,4.93
145,0.4,0.1,1,100,gbr,0.8394988189014139,0.0,0.0,0.0,0.05227596330833158,0.9682995371177563,51.32,0.09885215553778329,0.9824523582862068,54.78,0.0030076521349549352,0.6747325600415762,33.91
146,0.4,0.1,1,500,gbr,0.8073117249640895,0.0,0.0,0.0,0.05058114663064828,0.9376941811906632,247.44,0.10011663271205944,0.9609109662219226,267.68,0.000835185185185185,0.12128831679896716,30.36
147,0.4,0.1,1,1000,gbr,0.8372955671488539,0.0,0.0,0.0,0.05110597546045072,0.9638433408767239,506.0,0.10346550925100556,0.9830196868308679,546.15,0.00199117373686339,0.06560719439722566,32.72
148,0.4,0.1,2,10,gbr,0.38980593894367943,0.0,0.0,0.0,0.011166666666666667,0.6551984126984126,5.76,0.09655555555555555,0.9988888888888888,9.47,0.015083333333333332,0.7087698412698412,6.16
149,0.4,0.1,2,100,gbr,0.5474737238822517,0.0,0.0,0.0,0.01332929973238835,0.656492264285583,56.71,0.10217605338540395,0.996086089589965,94.16,0.00119047619047619,0.16605815650859412,14.16
150,0.4,0.1,2,500,gbr,0.5293095693833559,0.0,0.0,0.0,0.013828693142130097,0.6251757228570686,270.31,0.10181285234469088,0.9950152908607223,471.25,0.011884051037514031,0.03278704365368588,14.08
151,0.4,0.1,2,1000,gbr,0.5343125265121116,0.0,0.0,0.0,0.014931587474599488,0.6631223443223582,574.49,0.10065385678743413,0.9953236416308474,943.51,0.006290553325166205,0.01840547135998436,15.83
152,0.4,0.1,5,10,gbr,-0.14297334583009658,0.0,0.0,0.0,0.04666666666666667,0.061829365079365074,0.4,0.102,0.14195238095238094,0.9,0.08,0.0899126984126984,0.53
153,0.4,0.1,5,100,gbr,0.030253564664608327,0.0,0.0,0.0,0.03775,0.01042403038772137,0.6,0.1,0.02883214403955655,1.81,0.0525,0.007843193543737392,0.46
154,0.4,0.1,5,500,gbr,0.02696561966907878,0.0,0.0,0.0,0.043457150976332556,0.00549472058303261,1.72,0.1030621095299121,0.01800982805333868,5.89,0.055,0.002208754809281187,0.65
155,0.4,0.1,5,1000,gbr,0.030310891079814276,0.0,0.0,0.0,0.053948910738384426,0.002095793246276963,1.37,0.09202987699598132,0.010692354746378035,6.67,0.0825,0.0008820920338817261,0.56
156,0.4,0.1,6,10,gbr,0.19782164705638663,0.0,0.0,0.0,0.0665,0.20199999999999999,0.9,0.08783333333333333,0.294,1.25,0.08333333333333334,0.17375,0.72
157,0.4,0.1,6,100,gbr,0.30692394882642415,0.0,0.0,0.0,0.05417134499487441,0.07145974748121384,2.71,0.07800660158554894,0.1357173637392568,5.25,0.03666666666666667,0.030719672777289268,1.09
158,0.4,0.1,6,500,gbr,0.30247484683982245,0.0,0.0,0.0,0.06068136672334118,0.04105126775047263,7.94,0.0784534884203276,0.0870969393576,17.0,0.0245,0.005542175478123005,1.04
159,0.4,0.1,6,1000,gbr,0.29005528590902346,0.0,0.0,0.0,0.07692045522526608,0.0419405731825095,16.15,0.10944855657746419,0.08957926758638751,35.18,0.0475,0.003201594677368894,1.2
160,0.4,0.2,1,10,gbr,0.8398990371771687,0.0,0.0,0.0,0.09421428571428571,0.9890000000000001,5.76,0.18525,0.9966666666666667,6.44,0.03215873015873016,0.9782380952380954,5.25
161,0.4,0.2,1,100,gbr,0.8506963552470667,0.0,0.0,0.0,0.09853786983967558,0.981321263846363,54.14,0.1998146126765619,0.98647795328044,61.55,0.0033356013138907854,0.7865149453967962,39.04
162,0.4,0.2,1,500,gbr,0.8279394729780023,0.0,0.0,0.0,0.09921277880809376,0.9761348159690734,271.22,0.19984160719429916,0.9896691505852274,309.58,0.0026811083858290542,0.2447146250892403,61.4
163,0.4,0.2,1,1000,gbr,0.845870071480903,0.0,0.0,0.0,0.1027277173537181,0.9809545731843403,545.96,0.2006724854766284,0.9917550788968239,619.99,0.002366421569211961,0.12980621993915734,64.81
